scaffold1	scaffold2	connections
15087	24050	7
10286	21288	10
10598	9669	3
79304	81088	2
18777	35804	4
1111	202	17
31474	54973	84
17748	23533	7
53331	69525	2
14413	321	13
63104	82938	3
28312	3884	24
12378	15943	1
10392	25381	11
22523	42889	8
3012	3013	9
28569	9018	5
74921	75963	1
27764	48460	2
18319	39432	1
39761	66728	3
34953	51370	23
27902	50784	11
32445	49879	1
25670	27582	7
3090	33367	1
13295	2306	34
35304	63897	7
34069	381	60
88863	89892	4
20744	45223	3
16337	44413	1
13954	44815	6
16619	28599	5
89384	89385	3
1418	18969	74
83280	89382	2
75467	80952	1
11868	3309	12
24452	26226	9
90210	92298	1
60633	78399	3
34904	53504	89
3255	32933	1
11995	6165	1
17441	20523	2
17459	50267	5
16967	30598	3
2742	28675	1
33910	72186	77
1395	738	22
92279	92829	3
32018	56923	10
38599	38600	7
11141	11142	8
37291	66275	3
43768	5996	1
17437	3412	102
70795	95990	1
4227	7909	1
12302	50492	2
22867	62195	5
38408	53380	7
58754	65146	3
18885	19072	16
24481	7926	102
30639	33471	13
11940	26344	5
5388	7109	5
16127	9048	4
29044	29045	2
66007	66946	1
24979	26515	9
19385	82254	1
4379	8284	1
32251	67826	2
69116	77338	1
12323	32060	6
42727	5721	11
20005	20006	52
40249	8283	2
22315	70816	1
43623	47832	7
14325	69315	1
53660	55370	3
33374	57268	1
53896	88224	1
59916	6922	6
182	933	2
17310	48808	5
45680	46525	1
12730	3318	17
31191	32589	9
60645	67374	1
77591	85592	1
21317	61538	10
20529	7095	2
12359	5500	3
45386	88515	2
1332	26896	1
63873	77556	1
68026	69087	1
46766	55756	1
14366	4394	1
57415	8180	3
16667	5811	22
13345	5461	25
23064	75687	1
78457	83754	1
16529	56912	7
18593	18594	34
32469	33444	2
45248	45265	5
16088	27598	6
78079	89049	2
918	9315	18
43838	5111	1
33195	63291	1
42178	59844	2
21014	48824	1
1816	1853	4
10301	10303	37
56760	78847	1
13291	9289	6
24408	28099	6
74936	80274	1
11904	24455	1
33281	5986	3
11542	275	26
12351	59988	4
35986	42345	4
11066	9573	2
71595	81736	2
2542	6922	3
17943	4698	7
32033	39813	73
31758	39813	3
19408	2530	16
20941	3497	12
19409	40572	17
150	15352	14
74178	86010	2
30329	8219	10
63809	69039	6
48111	59347	1
52603	60957	2
31210	38532	3
21649	37236	132
2270	5870	35
32843	44939	3
19054	42408	7
17549	19151	2
29304	42229	1
25595	61026	7
6845	9123	12
72334	75093	2
13823	14744	4
33752	62780	8
18174	56005	20
21684	50265	15
37299	37300	10
1202	7620	1
458	47397	1
56858	61719	5
15939	33442	1
26553	449	50
12864	19002	4
91389	91840	3
11382	30766	14
11186	23418	1
73493	87288	2
16411	30933	26
10687	30933	4
61577	62036	1
33159	58336	1
72380	85373	1
37922	5941	2
