scaffold1	scaffold2	connections
13649	13650	19
23786	7778	2
11622	40274	2
12799	32696	1
2571	9527	1
6377	7426	1
9679	9710	2
13070	32844	6
22029	2816	7
2480	3463	1
6945	8515	1
44838	62919	1
10166	9545	14
4553	988	1
19985	7527	1
25049	60981	1
1692	5007	2
23067	4945	1
30665	37005	2
31117	35578	1
18943	23196	5
36630	7644	1
44078	60264	3
26562	52208	1
1336	5363	2
34161	40638	5
3591	5863	4
46513	61724	1
13254	9845	1
2576	9504	1
13498	7497	1
59370	59371	2
31200	35119	2
167	9551	1
14883	2961	16
55112	58379	1
4518	52008	1
18552	5042	1
13019	1872	21
29434	54643	2
186	44841	1
12330	4	1
1	22006	1
22962	7657	1
26075	49869	1
974	975	3
36030	9089	2
5753	7483	11
2004	6652	1
14142	54651	1
14049	40928	1
2643	5578	1
25963	5300	41
27663	9570	4
20619	56912	1
49507	54175	3
17435	4164	1
40352	57546	1
29637	7448	2
23217	66277	1
36634	36635	4
15456	15763	4
2726	33092	4
21144	38153	10
5373	5520	1
10441	31697	1
32429	44140	1
29721	3645	1
32094	56026	4
28888	35963	2
2679	59012	2
13321	6890	3
48328	55518	1
42190	49535	2
14548	26667	1
26595	42228	1
64221	920	1
11742	13097	1
10747	21312	1
18777	35804	4
15494	22813	1
31474	54973	3
20527	5790	2
15528	320	1
1232	43098	1
16643	48596	1
2395	32783	1
12378	15943	18
11132	7333	1
3012	3013	95
1461	25104	1
45641	56262	1
11431	51241	1
11592	8838	1
21953	6624	1
13908	40958	6
25517	7462	1
10293	14855	20
32499	57981	1
24796	3592	2
16337	44413	4
2306	38407	1
26684	44360	1
24916	54537	1
1418	18969	32
34904	53504	2
28169	30109	2
17322	7863	1
13424	9850	1
21270	5879	2
17459	50267	2
2742	28675	1
15448	4379	1
12130	28435	3
38599	38600	3
12767	16848	5
17437	3412	3
21281	446	1
18399	3674	1
24969	38213	1
6167	8960	1
20956	34039	1
12302	50492	2
14077	27390	1
22867	62195	1
38408	53380	4
58754	65146	1
18885	19072	16
5388	7109	22
20377	30541	1
3210	863	1
14018	38002	1
24979	26515	2
21514	9573	2
4379	8284	2
18848	4927	1
10826	41709	1
18657	5626	1
1366	21811	1
15541	20110	1
12758	38205	2
1144	899	1
23867	5500	1
1194	4376	3
12730	3318	25
24752	2994	29
41457	46486	1
1977	5988	2
13688	22622	2
20529	7095	3
36142	53037	1
17293	50755	3
43357	43358	1
17821	5440	1
16607	23962	1
18502	5258	2
31930	39491	1
1218	6445	1
57415	8180	2
17482	55342	6
16667	5811	15
13345	5461	21
4753	926	1
37484	7520	1
24374	33668	1
10381	7945	16
21218	5587	1
12605	42965	1
12292	6820	1
16529	56912	1
13194	15126	1
8818	996	4
34134	44538	1
15174	988	6
45248	45265	5
31999	35188	1
50186	5678	1
918	9315	30
32953	42064	2
50618	50619	1
32418	32419	1
43838	5111	1
33195	63291	1
11268	23517	1
1928	4147	3
35050	4764	1
24103	5372	1
18015	3765	1
13855	44494	2
20914	28093	3
11904	24455	11
11373	7638	2
27353	6319	7
33281	5986	8
15735	8352	1
12351	59988	1
41782	50370	1
35986	42345	6
28770	9209	1
20129	403	1
11733	28969	1
11066	9573	4
1441	21260	1
129	29	1
32033	39813	2
10644	6198	14
10594	7609	6
5651	932	1
38380	45374	2
16888	8446	4
15885	4260	1
11315	11470	1
22811	7626	2
19409	40572	3
150	15352	36
18982	18983	1
31210	38532	6
2270	5870	26
13338	3286	1
19054	42408	4
4431	49011	1
25595	61026	1
21479	5051	1
10865	4508	2
6845	9123	1
6029	7998	1
40776	43336	3
1670	26916	1
21684	50265	1
37299	37300	1
3090	3651	1
12864	19002	3
10672	6392	1
13252	13253	5
1509	23876	1
11186	23418	6
53007	6508	1
24866	32933	2
10687	30933	4
33159	58336	2
37922	5941	3
10762	13097	2
2289	41591	1
16822	40358	3
22143	4000	4
2446	26995	1
15958	24996	2
10185	11822	1
19820	6352	1
1168	6209	1
17664	57916	2
12434	3953	7
13248	23192	1
11348	8033	29
10081	31395	1
19546	2141	4
12670	14501	3
11620	11621	5
17437	30208	8
14750	14751	2
51438	52367	1
18084	2582	1
10382	20001	6
1558	16127	18
28848	5673	2
58189	6097	1
23059	66170	2
15827	30927	1
39551	5314	3
16828	29077	1
32856	7515	3
13325	6450	63
13407	52164	2
38684	50397	1
31070	41618	1
14987	31715	3
12390	12391	3
6833	8755	1
16412	4245	3
29002	9632	1
10726	11652	1
4255	4671	1
54640	65874	1
11255	14004	1
12144	33541	1
3858	63740	1
32402	54476	1
10488	7155	1
12199	31395	1
13544	21005	1
44941	51233	1
27946	37930	2
11332	7790	2
10647	58024	1
10993	10994	17
4269	5775	1
21887	6432	3
44407	4496	2
1063	14016	1
15435	7108	1
11686	44330	2
4621	957	1
46896	62004	1
19935	34375	2
13058	16570	1
11758	21268	13
4241	978	5
34358	63339	1
20204	38083	6
106	17439	10
21049	29352	6
13441	8468	33
11568	48549	1
1462	17223	1
108	10827	1
17960	65207	2
16418	44862	1
12087	6681	4
51	5442	1
19719	20545	1
20355	7191	3
39524	7255	2
509	605	4
61270	61378	1
44580	45004	1
32429	43149	1
12527	12587	19
34890	9878	3
55272	69774	1
2053	5607	1
11585	59417	1
35055	4325	1
13000	36559	4
18346	29872	2
47845	4940	1
12349	20524	9
45286	958	3
23093	26405	1
14588	15385	1
11206	12620	2
1596	2048	1
20444	9882	1
12039	3218	1
14680	29563	1
22207	2574	1
2117	499	2
376	5111	1
1480	1804	2
17152	29108	1
15125	51468	1
13351	3050	1
2589	28325	1
33161	5845	1
10752	25392	1
13996	55663	1
1036	20372	1
12656	909	3
2112	3616	1
3506	8381	3
10577	19640	1
6521	883	20
10334	47428	1
41340	43802	1
26550	3852	30
24182	27431	1
