scaffold	phylum	count	all.phylum.assignments	class	all.class.assignments
21405	Bacteroidetes/Chlorobi group	2	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes
55619	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
10357	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
1122	Proteobacteria	2	Proteobacteria;Proteobacteria	NA	NA
30007	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
18103	Proteobacteria	1	Proteobacteria	NA	NA
20748	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
93059	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
69853	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
88751	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
47160	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
16568	Actinobacteria <phylum>	2	Actinobacteria <phylum>;Actinobacteria <phylum>	Actinobacteria	Actinobacteria;Actinobacteria
85675	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
17444	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
36090	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
61754	Deinococcus-Thermus	1	Deinococcus-Thermus	Deinococci	Deinococci
47533	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
75006	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
13588	Deinococcus-Thermus	6	Deinococcus-Thermus;Deinococcus-Thermus;Deinococcus-Thermus;Deinococcus-Thermus;Deinococcus-Thermus;Deinococcus-Thermus	Deinococci	Deinococci;Deinococci;Deinococci;Deinococci;Deinococci;Deinococci
84642	Proteobacteria	1	Proteobacteria	NA	NA
90881	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
90412	Proteobacteria	4	Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria	Gammaproteobacteria	Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria
4773	Proteobacteria	1	Proteobacteria	NA	NA
61173	Deinococcus-Thermus	1	Deinococcus-Thermus	Deinococci	Deinococci
2985	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
15162	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
59675	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
16656	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
59278	Proteobacteria	1	Proteobacteria	NA	NA
7781	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
58589	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
3319	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
74128	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
81023	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
22908	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
22960	Proteobacteria	2	Proteobacteria;Proteobacteria	Betaproteobacteria	Betaproteobacteria;Betaproteobacteria
36114	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
7935	Actinobacteria <phylum>	12	NA;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>	Actinobacteria	NA;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria
69832	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
14689	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
31712	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
9175	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
46783	Deinococcus-Thermus	2	Deinococcus-Thermus;Deinococcus-Thermus	Deinococci	Deinococci;Deinococci
39922	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
92328	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
18644	Proteobacteria	1	Proteobacteria	NA	NA
25841	Bacteroidetes/Chlorobi group	4	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes
96768	Proteobacteria	2	Proteobacteria;Proteobacteria	NA	NA
9707	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
36646	Proteobacteria	3	Proteobacteria;Proteobacteria;Proteobacteria	NA	NA
15062	Actinobacteria <phylum>	2	Actinobacteria <phylum>;Actinobacteria <phylum>	Actinobacteria	Actinobacteria;Actinobacteria
5373	Proteobacteria	1	Proteobacteria	NA	NA
3603	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
9130	Bacteroidetes/Chlorobi group	2	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes
15875	Proteobacteria	3	Proteobacteria;Proteobacteria;Proteobacteria	Betaproteobacteria	Betaproteobacteria;Betaproteobacteria;Betaproteobacteria
12584	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
38317	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
94282	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
88886	Proteobacteria	2	Proteobacteria;Proteobacteria	Gammaproteobacteria	Gammaproteobacteria;Gammaproteobacteria
70991	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
64499	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
42232	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
34524	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
81935	Firmicutes	1	Firmicutes	Clostridia	Clostridia
543	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
72398	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
3088	Actinobacteria <phylum>	13	NA;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>	Actinobacteria	NA;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria
32574	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
59393	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
