scaffold	phylum	count	all.phylum.assignments	class	all.class.assignments
48674	Proteobacteria	2	Proteobacteria;Proteobacteria	Gammaproteobacteria	Gammaproteobacteria;Gammaproteobacteria
19455	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
28689	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
12890	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
57700	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
82290	Deinococcus-Thermus	1	Deinococcus-Thermus	Deinococci	Deinococci
69814	Alveolata	1	Alveolata	Ciliophora	Ciliophora
3509	Proteobacteria	2	Proteobacteria;Proteobacteria	Betaproteobacteria	Betaproteobacteria;Betaproteobacteria
65441	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
27587	Bacteroidetes/Chlorobi group	4	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes
8054	Proteobacteria	2	Proteobacteria;Proteobacteria	Gammaproteobacteria	NA;Gammaproteobacteria
89241	Proteobacteria	2	Proteobacteria;Proteobacteria	Gammaproteobacteria	Gammaproteobacteria;Gammaproteobacteria
12663	Deinococcus-Thermus	5	Deinococcus-Thermus;Deinococcus-Thermus;Deinococcus-Thermus;Deinococcus-Thermus;Deinococcus-Thermus	Deinococci	Deinococci;Deinococci;Deinococci;Deinococci;Deinococci
5759	Proteobacteria	2	Proteobacteria;Proteobacteria	Alphaproteobacteria	Alphaproteobacteria;Alphaproteobacteria
24384	Proteobacteria	1	Proteobacteria	NA	NA
78218	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
9997	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
84965	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
90541	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
6862	Proteobacteria	1	Proteobacteria	NA	NA
5974	unclassified Bacteria	27	NA;NA;Proteobacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;NA;Firmicutes	candidate division TM7	NA;NA;Alphaproteobacteria;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;NA;Clostridia
12637	unclassified Bacteria	3	NA;unclassified Bacteria;unclassified Bacteria	candidate division TM7	NA;candidate division TM7;candidate division TM7
37308	Proteobacteria	5	Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria	Betaproteobacteria	NA;Betaproteobacteria;Betaproteobacteria;Betaproteobacteria;Betaproteobacteria
59556	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
60201	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
9363	Proteobacteria	1	Proteobacteria	NA	NA
18324	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
1363	Bacteroidetes/Chlorobi group	5	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes;NA;NA
7862	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
15172	Proteobacteria	1	Proteobacteria	NA	NA
33988	Nitrospirae	1	Nitrospirae	Nitrospira <class>	Nitrospira <class>
3497	Firmicutes	1	Firmicutes	Bacilli	Bacilli
29142	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
75448	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
75300	Bacteroidetes/Chlorobi group	3	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes
14102	Proteobacteria	6	Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria	Betaproteobacteria	NA;NA;NA;Betaproteobacteria;Betaproteobacteria;Betaproteobacteria
13986	Proteobacteria	2	Proteobacteria;Proteobacteria	NA	NA
57403	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
26299	Actinobacteria <phylum>	3	Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>	Actinobacteria	Actinobacteria;Actinobacteria;Actinobacteria
85028	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
14490	unclassified Bacteria	20	NA;NA;NA;NA;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;NA	candidate division TM7	NA;NA;NA;NA;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;NA
2387	Proteobacteria	1	Proteobacteria	NA	NA
28828	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
15101	Actinobacteria <phylum>	5	Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>	Actinobacteria	Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria
15021	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
87137	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
27881	Proteobacteria	2	Proteobacteria;Proteobacteria	Gammaproteobacteria	Gammaproteobacteria;Gammaproteobacteria
51589	Proteobacteria	1	Proteobacteria	NA	NA
15526	Proteobacteria	1	Proteobacteria	NA	NA
42437	Proteobacteria	2	Proteobacteria;Proteobacteria	Betaproteobacteria	Betaproteobacteria;Betaproteobacteria
58011	Proteobacteria	1	Proteobacteria	NA	NA
71976	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
94582	Chloroflexi <phylum>	1	Chloroflexi <phylum>	Anaerolineae	Anaerolineae
5752	Proteobacteria	2	Proteobacteria;Proteobacteria	NA	NA
495	Proteobacteria	4	Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria	Alphaproteobacteria	Alphaproteobacteria;Alphaproteobacteria;Alphaproteobacteria;Alphaproteobacteria
68523	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
18695	Proteobacteria	4	Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria	Alphaproteobacteria	Alphaproteobacteria;Alphaproteobacteria;Alphaproteobacteria;Alphaproteobacteria
22961	Proteobacteria	5	Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria	Betaproteobacteria	Betaproteobacteria;Betaproteobacteria;Betaproteobacteria;Betaproteobacteria;Betaproteobacteria
19620	Proteobacteria	2	Proteobacteria;Proteobacteria	Alphaproteobacteria	Alphaproteobacteria;Alphaproteobacteria
29583	unclassified Bacteria	5	unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria	candidate division TM7	candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7
61319	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
26070	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
33464	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
18450	Proteobacteria	1	Proteobacteria	NA	NA
3571	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
61687	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
9760	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
2458	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
59861	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
15085	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
8694	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
36032	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
70716	Alveolata	1	Alveolata	Ciliophora	Ciliophora
45615	Proteobacteria	1	Proteobacteria	NA	NA
12160	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
62943	Proteobacteria	2	Proteobacteria;Proteobacteria	Gammaproteobacteria	NA;Gammaproteobacteria
28629	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
64087	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
285	Bacteroidetes/Chlorobi group	10	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes
4423	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
5938	Bacteroidetes/Chlorobi group	3	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes
25869	Bacteroidetes/Chlorobi group	3	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes
28496	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
2002	Bacteroidetes/Chlorobi group	2	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes
57210	Proteobacteria	2	Proteobacteria;Proteobacteria	Betaproteobacteria	NA;Betaproteobacteria
4198	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
4902	unclassified Bacteria	3	NA;NA;unclassified Bacteria	candidate division TM7	NA;NA;candidate division TM7
45028	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
31064	unclassified Bacteria	5	NA;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria	candidate division TM7	NA;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7
14529	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
38017	Proteobacteria	1	Proteobacteria	NA	NA
69240	Deinococcus-Thermus	1	Deinococcus-Thermus	Deinococci	Deinococci
10919	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
486	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
69407	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
90787	unclassified Bacteria	1	unclassified Bacteria	candidate division TM7	candidate division TM7
4066	Thermotogae <phylum>	5	NA;NA;NA;NA;Thermotogae <phylum>	Thermotogae	NA;NA;NA;NA;Thermotogae
51964	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
46362	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
87128	Firmicutes	1	Firmicutes	NA	NA
7479	Firmicutes	2	NA;Firmicutes	Clostridia	NA;Clostridia
22902	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
95780	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
17689	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
10963	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
64469	Deinococcus-Thermus	1	Deinococcus-Thermus	Deinococci	Deinococci
81309	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
41035	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
71316	Proteobacteria	3	Proteobacteria;Proteobacteria;Proteobacteria	Gammaproteobacteria	Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria
54339	unclassified Bacteria	1	unclassified Bacteria	candidate division TM7	candidate division TM7
43636	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
32837	Proteobacteria	3	Proteobacteria;Proteobacteria;Proteobacteria	Betaproteobacteria	Betaproteobacteria;Betaproteobacteria;Betaproteobacteria
1375	Proteobacteria	3	Proteobacteria;Proteobacteria;Proteobacteria	Alphaproteobacteria	Alphaproteobacteria;Alphaproteobacteria;Alphaproteobacteria
49200	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
10402	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
29865	Proteobacteria	1	Proteobacteria	NA	NA
55758	Proteobacteria	1	Proteobacteria	NA	NA
70887	Proteobacteria	4	Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria	Alphaproteobacteria	Alphaproteobacteria;Alphaproteobacteria;Alphaproteobacteria;Alphaproteobacteria
35388	Bacteroidetes/Chlorobi group	5	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes
1585	Bacteroidetes/Chlorobi group	3	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes
52950	Proteobacteria	5	Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria	Gammaproteobacteria	Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria;Gammaproteobacteria
24629	Proteobacteria	4	Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria	Alphaproteobacteria	Alphaproteobacteria;Alphaproteobacteria;Alphaproteobacteria;Alphaproteobacteria
1877	Actinobacteria <phylum>	6	Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>	Actinobacteria	Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria
18995	Proteobacteria	2	Proteobacteria;Proteobacteria	Betaproteobacteria	NA;Betaproteobacteria
29339	Proteobacteria	1	Proteobacteria	NA	NA
41822	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
7917	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
79463	Bacteroidetes/Chlorobi group	4	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes;NA
4094	Actinobacteria <phylum>	5	Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>	Actinobacteria	Actinobacteria;Actinobacteria;Actinobacteria;NA;Actinobacteria
11343	Proteobacteria	1	Proteobacteria	NA	NA
94066	unclassified Bacteria	1	unclassified Bacteria	candidate division TM7	candidate division TM7
18018	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
3540	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
6076	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
14349	Firmicutes	1	Firmicutes	Clostridia	Clostridia
41065	Proteobacteria	2	Proteobacteria;Proteobacteria	Gammaproteobacteria	Gammaproteobacteria;Gammaproteobacteria
20983	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
91419	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
77369	Actinobacteria <phylum>	2	Actinobacteria <phylum>;Actinobacteria <phylum>	Actinobacteria	Actinobacteria;Actinobacteria
29235	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
24463	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
20011	unclassified Bacteria	2	NA;unclassified Bacteria	candidate division TM7	NA;candidate division TM7
4784	Proteobacteria	4	Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria	Betaproteobacteria	Betaproteobacteria;Betaproteobacteria;Betaproteobacteria;Betaproteobacteria
8318	Proteobacteria	3	Proteobacteria;Proteobacteria;Proteobacteria	Betaproteobacteria	Betaproteobacteria;Betaproteobacteria;Betaproteobacteria
92876	Bacteroidetes/Chlorobi group	2	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes
89484	Proteobacteria	1	Proteobacteria	NA	NA
5907	Proteobacteria	3	Proteobacteria;Proteobacteria;Proteobacteria	Gammaproteobacteria	NA;NA;Gammaproteobacteria
55718	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
22186	Actinobacteria <phylum>	2	Actinobacteria <phylum>;Actinobacteria <phylum>	Actinobacteria	Actinobacteria;Actinobacteria
82179	Bacteroidetes/Chlorobi group	2	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes
5503	Deinococcus-Thermus	6	Deinococcus-Thermus;Deinococcus-Thermus;Deinococcus-Thermus;Deinococcus-Thermus;Deinococcus-Thermus;Deinococcus-Thermus	Deinococci	Deinococci;Deinococci;Deinococci;Deinococci;Deinococci;Deinococci
94373	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
90664	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
41610	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
7463	Proteobacteria	1	Proteobacteria	NA	NA
36624	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
20511	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
18724	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
54845	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
22927	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
85371	Actinobacteria <phylum>	2	Actinobacteria <phylum>;Actinobacteria <phylum>	Actinobacteria	Actinobacteria;Actinobacteria
30306	Bacteroidetes/Chlorobi group	3	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes
9990	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
136	Proteobacteria	2	Proteobacteria;Proteobacteria	Alphaproteobacteria	Alphaproteobacteria;Alphaproteobacteria
82646	Bacteroidetes/Chlorobi group	6	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes
6523	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
5929	unclassified Bacteria	1	unclassified Bacteria	candidate division TM7	candidate division TM7
36043	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
10725	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
2419	Actinobacteria <phylum>	4	Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>	Actinobacteria	Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria
8100	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
9077	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
68001	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
63935	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
2845	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
14929	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
58927	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
32656	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
32694	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
10428	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
1935	Proteobacteria	1	Proteobacteria	NA	NA
17607	Bacteroidetes/Chlorobi group	2	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes
20059	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
4676	Proteobacteria	1	Proteobacteria	NA	NA
89570	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
58849	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
17003	Bacteroidetes/Chlorobi group	4	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes
4567	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
43243	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
58586	Actinobacteria <phylum>	2	Actinobacteria <phylum>;Actinobacteria <phylum>	Actinobacteria	Actinobacteria;Actinobacteria
58370	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
3025	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
83650	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	NA	NA
65294	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
7635	Bacteroidetes/Chlorobi group	5	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes
58152	Proteobacteria	1	Proteobacteria	NA	NA
22591	Nitrospirae	1	Nitrospirae	Nitrospira <class>	Nitrospira <class>
91544	Proteobacteria	1	Proteobacteria	NA	NA
47273	Bacteroidetes/Chlorobi group	3	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes
75902	Firmicutes	5	NA;NA;NA;NA;Firmicutes	Clostridia	NA;NA;NA;NA;Clostridia
11443	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
8369	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
23817	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
89430	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
29140	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
69138	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
3180	Proteobacteria	3	Proteobacteria;Proteobacteria;Proteobacteria	Gammaproteobacteria	NA;NA;Gammaproteobacteria
51	Proteobacteria	4	Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria	NA	NA
18770	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
27861	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
46579	Deinococcus-Thermus	1	Deinococcus-Thermus	Deinococci	Deinococci
59422	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
41609	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
10368	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
44169	Nitrospirae	7	Nitrospirae;Nitrospirae;Nitrospirae;Nitrospirae;Nitrospirae;Nitrospirae;Nitrospirae	Nitrospira <class>	Nitrospira <class>;Nitrospira <class>;Nitrospira <class>;Nitrospira <class>;Nitrospira <class>;Nitrospira <class>;Nitrospira <class>
56795	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
88743	Proteobacteria	2	Proteobacteria;Proteobacteria	Gammaproteobacteria	Gammaproteobacteria;Gammaproteobacteria
80230	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
4506	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
78982	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
